scenario,year,metric,stratum,cohort,stat,value
S_sq,2020,new_cancers,all,pre2015_group,mean,12360.817784980221
S_sq,2021,new_cancers,all,pre2015_group,mean,13091.713841252977
S_sq,2022,new_cancers,all,pre2015_group,mean,13416.281134383233
S_sq,2023,new_cancers,all,pre2015_group,mean,13782.968160624288
S_sq,2024,new_cancers,all,pre2015_group,mean,13988.610095372875
S_sq,2025,new_cancers,all,pre2015_group,mean,14385.028320915875
S_sq,2026,new_cancers,all,pre2015_group,mean,15239.80519635059
S_sq,2027,new_cancers,all,pre2015_group,mean,15244.760479918074
S_sq,2028,new_cancers,all,pre2015_group,mean,15846.820758351532
S_sq,2029,new_cancers,all,pre2015_group,mean,16471.179547019452
S_sq,2030,new_cancers,all,pre2015_group,mean,16805.65731867827
S_sq,2031,new_cancers,all,pre2015_group,mean,17427.538701846195
S_sq,2032,new_cancers,all,pre2015_group,mean,17848.733020336465
S_sq,2033,new_cancers,all,pre2015_group,mean,18101.449824085994
S_sq,2034,new_cancers,all,pre2015_group,mean,18753.062642839603
S_sq,2035,new_cancers,all,pre2015_group,mean,19241.152698781534
S_sq,2036,new_cancers,all,pre2015_group,mean,19347.690173134644
S_sq,2037,new_cancers,all,pre2015_group,mean,20073.631241194595
S_sq,2038,new_cancers,all,pre2015_group,mean,20883.81124383772
S_sq,2039,new_cancers,all,pre2015_group,mean,20517.124099454795
S_sq,2040,new_cancers,all,pre2015_group,mean,21022.55747067011
S_sq,2041,new_cancers,all,pre2015_group,mean,21495.782118941614
S_sq,2042,new_cancers,all,pre2015_group,mean,21644.438824302564
S_sq,2043,new_cancers,all,pre2015_group,mean,21218.289310851218
S_sq,2044,new_cancers,all,pre2015_group,mean,21810.439081220644
S_sq,2045,new_cancers,all,pre2015_group,mean,21941.752618985556
S_sq,2046,new_cancers,all,pre2015_group,mean,21669.21509446264
S_sq,2047,new_cancers,all,pre2015_group,mean,21701.42417183207
S_sq,2048,new_cancers,all,pre2015_group,mean,21305.005710005327
S_sq,2049,new_cancers,all,pre2015_group,mean,21309.96114125015
S_sq,2050,new_cancers,all,pre2015_group,mean,21357.03577396735
S_sq,2051,new_cancers,all,pre2015_group,mean,21012.647435173567
S_sq,2052,new_cancers,all,pre2015_group,mean,20442.79567293565
S_sq,2053,new_cancers,all,pre2015_group,mean,20764.88567870778
S_sq,2054,new_cancers,all,pre2015_group,mean,19605.361906026043
S_sq,2055,new_cancers,all,pre2015_group,mean,20219.810422913677
S_sq,2056,new_cancers,all,pre2015_group,mean,19491.391594928118
S_sq,2057,new_cancers,all,pre2015_group,mean,19342.7349486381
S_sq,2058,new_cancers,all,pre2015_group,mean,18235.240974099175
S_sq,2059,new_cancers,all,pre2015_group,mean,18009.77811182893
S_sq,2060,new_cancers,all,pre2015_group,mean,17571.240537136215
S_sq,2061,new_cancers,all,pre2015_group,mean,16738.762083329562
S_sq,2062,new_cancers,all,pre2015_group,mean,16176.343394120204
S_sq,2063,new_cancers,all,pre2015_group,mean,15918.671484015998
S_sq,2064,new_cancers,all,pre2015_group,mean,15524.730723043936
S_sq,2065,new_cancers,all,pre2015_group,mean,14560.93890868518
S_sq,2066,new_cancers,all,pre2015_group,mean,14484.13286991776
S_sq,2067,new_cancers,all,pre2015_group,mean,13664.042595494344
S_sq,2068,new_cancers,all,pre2015_group,mean,12990.131739073755
S_sq,2069,new_cancers,all,pre2015_group,mean,12559.026823913053
S_sq,2070,new_cancers,all,pre2015_group,mean,11659.652854170743
S_sq,2071,new_cancers,all,pre2015_group,mean,11231.02565463245
S_sq,2072,new_cancers,all,pre2015_group,mean,10425.800832182671
S_sq,2073,new_cancers,all,pre2015_group,mean,9935.233252598868
S_sq,2074,new_cancers,all,pre2015_group,mean,9132.486086700561
S_sq,2075,new_cancers,all,pre2015_group,mean,8674.12740727338
S_sq,2076,new_cancers,all,pre2015_group,mean,8272.753883395162
S_sq,2077,new_cancers,all,pre2015_group,mean,7556.723293863775
S_sq,2078,new_cancers,all,pre2015_group,mean,7167.737890297862
S_sq,2079,new_cancers,all,pre2015_group,mean,6253.498261833644
S_sq,2080,new_cancers,all,pre2015_group,mean,6003.2592623129285
S_sq,2081,new_cancers,all,pre2015_group,mean,5601.885797505647
S_sq,2082,new_cancers,all,pre2015_group,mean,4920.541912359697
S_sq,2083,new_cancers,all,pre2015_group,mean,4462.18329200345
S_sq,2084,new_cancers,all,pre2015_group,mean,4031.0784617572176
S_sq,2085,new_cancers,all,pre2015_group,mean,3704.0333533223466
S_sq,2086,new_cancers,all,pre2015_group,mean,3114.361213660859
S_sq,2087,new_cancers,all,pre2015_group,mean,2784.838581584117
S_sq,2088,new_cancers,all,pre2015_group,mean,2599.0175189781853
S_sq,2089,new_cancers,all,pre2015_group,mean,2101.0171654124297
S_sq,2090,new_cancers,all,pre2015_group,mean,1828.4796224298495
S_sq,2091,new_cancers,all,pre2015_group,mean,1563.3748349695543
S_sq,2092,new_cancers,all,pre2015_group,mean,1337.9119080904738
S_sq,2093,new_cancers,all,pre2015_group,mean,1005.9115174725949
S_sq,2094,new_cancers,all,pre2015_group,mean,867.1650852764045
S_sq,2095,new_cancers,all,pre2015_group,mean,802.7470879062107
S_sq,2096,new_cancers,all,pre2015_group,mean,572.328948067875
S_sq,2097,new_cancers,all,pre2015_group,mean,441.01537292213976
S_sq,2098,new_cancers,all,pre2015_group,mean,307.2241970654229
S_sq,2099,new_cancers,all,pre2015_group,mean,252.7166800697583
S_sq,2100,new_cancers,all,pre2015_group,mean,235.3733781796335
S_sq,2031,new_cancers,all,vt_group,mean,22.29853100158898
S_sq,2032,new_cancers,all,vt_group,mean,44.59706200317796
S_sq,2033,new_cancers,all,vt_group,mean,22.29853100158898
S_sq,2034,new_cancers,all,vt_group,mean,26.014952835187145
S_sq,2035,new_cancers,all,vt_group,mean,52.959011128773824
S_sq,2036,new_cancers,all,vt_group,mean,69.37320756049905
S_sq,2037,new_cancers,all,vt_group,mean,138.74641465950643
S_sq,2038,new_cancers,all,vt_group,mean,175.6009316375132
S_sq,2039,new_cancers,all,vt_group,mean,210.5972358527542
S_sq,2040,new_cancers,all,vt_group,mean,235.37338233305866
S_sq,2041,new_cancers,all,vt_group,mean,433.58253710030203
S_sq,2042,new_cancers,all,vt_group,mean,582.239403983345
S_sq,2043,new_cancers,all,vt_group,mean,644.1797637232225
S_sq,2044,new_cancers,all,vt_group,mean,728.4186600025893
S_sq,2045,new_cancers,all,vt_group,mean,978.6577227476654
S_sq,2046,new_cancers,all,vt_group,mean,1171.9116668631118
S_sq,2047,new_cancers,all,vt_group,mean,1315.6133110955743
S_sq,2048,new_cancers,all,vt_group,mean,1501.4343903152069
S_sq,2049,new_cancers,all,vt_group,mean,1778.9272380938871
S_sq,2050,new_cancers,all,vt_group,mean,1905.285573975341
S_sq,2051,new_cancers,all,vt_group,mean,2153.0470433933024
S_sq,2052,new_cancers,all,vt_group,mean,2430.539884711099
S_sq,2053,new_cancers,all,vt_group,mean,2566.808674200565
S_sq,2054,new_cancers,all,vt_group,mean,2955.794175602715
S_sq,2055,new_cancers,all,vt_group,mean,3270.4512398714096
S_sq,2056,new_cancers,all,vt_group,mean,3320.003524525169
S_sq,2057,new_cancers,all,vt_group,mean,3763.4965692280093
S_sq,2058,new_cancers,all,vt_group,mean,4147.5268193670945
S_sq,2059,new_cancers,all,vt_group,mean,4301.1389513579525
S_sq,2060,new_cancers,all,vt_group,mean,4382.900192008828
S_sq,2061,new_cancers,all,vt_group,mean,4761.975237956999
S_sq,2062,new_cancers,all,vt_group,mean,5183.16974058245
S_sq,2063,new_cancers,all,vt_group,mean,5423.49839217675
S_sq,2064,new_cancers,all,vt_group,mean,6025.558717220869
S_sq,2065,new_cancers,all,vt_group,mean,6060.245281774325
S_sq,2066,new_cancers,all,vt_group,mean,6335.260565761358
S_sq,2067,new_cancers,all,vt_group,mean,7093.410609662566
S_sq,2068,new_cancers,all,vt_group,mean,7499.739220512809
S_sq,2069,new_cancers,all,vt_group,mean,7185.082376375647
S_sq,2070,new_cancers,all,vt_group,mean,7826.784418938559
S_sq,2071,new_cancers,all,vt_group,mean,8104.277380244193
S_sq,2072,new_cancers,all,vt_group,mean,8359.471636565875
S_sq,2073,new_cancers,all,vt_group,mean,8475.91954975926
S_sq,2074,new_cancers,all,vt_group,mean,8973.92001962092
S_sq,2075,new_cancers,all,vt_group,mean,9149.830601852322
S_sq,2076,new_cancers,all,vt_group,mean,9258.84570137547
S_sq,2077,new_cancers,all,vt_group,mean,9390.159419122136
S_sq,2078,new_cancers,all,vt_group,mean,9813.831393702389
S_sq,2079,new_cancers,all,vt_group,mean,9796.488069199171
S_sq,2080,new_cancers,all,vt_group,mean,10135.921356094297
S_sq,2081,new_cancers,all,vt_group,mean,10336.608010505845
S_sq,2082,new_cancers,all,vt_group,mean,9962.488325655759
S_sq,2083,new_cancers,all,vt_group,mean,10249.891531513673
S_sq,2084,new_cancers,all,vt_group,mean,10799.921865972947
S_sq,2085,new_cancers,all,vt_group,mean,10777.623408810026
S_sq,2086,new_cancers,all,vt_group,mean,10737.98153669152
S_sq,2087,new_cancers,all,vt_group,mean,10730.54853565566
S_sq,2088,new_cancers,all,vt_group,mean,10544.727608728283
S_sq,2089,new_cancers,all,vt_group,mean,10824.697849546686
S_sq,2090,new_cancers,all,vt_group,mean,10819.742763497645
S_sq,2091,new_cancers,all,vt_group,mean,10547.20501930469
S_sq,2092,new_cancers,all,vt_group,mean,10235.02557559112
S_sq,2093,new_cancers,all,vt_group,mean,10138.398565460333
S_sq,2094,new_cancers,all,vt_group,mean,10373.771887799472
S_sq,2095,new_cancers,all,vt_group,mean,9766.75634748864
S_sq,2096,new_cancers,all,vt_group,mean,9766.756350257589
S_sq,2097,new_cancers,all,vt_group,mean,9481.830695269557
