scenario,year,value,metric,stratum,cohort,stat
S_infant_eff50,2020,19.19832240318148,asr_cancer_incidence,all,whole,median
S_infant_eff50,2021,19.92052180399774,asr_cancer_incidence,all,whole,median
S_infant_eff50,2022,20.10024758616121,asr_cancer_incidence,all,whole,median
S_infant_eff50,2023,19.7474485979801,asr_cancer_incidence,all,whole,median
S_infant_eff50,2024,20.02369872236641,asr_cancer_incidence,all,whole,median
S_infant_eff50,2025,19.22884704675813,asr_cancer_incidence,all,whole,median
S_infant_eff50,2026,21.08066515905949,asr_cancer_incidence,all,whole,median
S_infant_eff50,2027,19.0128136739382,asr_cancer_incidence,all,whole,median
S_infant_eff50,2028,18.980481105158933,asr_cancer_incidence,all,whole,median
S_infant_eff50,2029,19.128399925493177,asr_cancer_incidence,all,whole,median
S_infant_eff50,2030,18.31687496877966,asr_cancer_incidence,all,whole,median
S_infant_eff50,2031,18.150824744375218,asr_cancer_incidence,all,whole,median
S_infant_eff50,2032,18.067525746724723,asr_cancer_incidence,all,whole,median
S_infant_eff50,2033,17.7579449114243,asr_cancer_incidence,all,whole,median
S_infant_eff50,2034,17.33523242719099,asr_cancer_incidence,all,whole,median
S_infant_eff50,2035,17.892689486633667,asr_cancer_incidence,all,whole,median
S_infant_eff50,2036,16.65217313101839,asr_cancer_incidence,all,whole,median
S_infant_eff50,2037,16.55005927198779,asr_cancer_incidence,all,whole,median
S_infant_eff50,2038,16.075204498976746,asr_cancer_incidence,all,whole,median
S_infant_eff50,2039,16.148275454546727,asr_cancer_incidence,all,whole,median
S_infant_eff50,2040,15.740999507501444,asr_cancer_incidence,all,whole,median
S_infant_eff50,2041,15.932957290081276,asr_cancer_incidence,all,whole,median
S_infant_eff50,2042,15.692857573864478,asr_cancer_incidence,all,whole,median
S_infant_eff50,2043,14.736627161808336,asr_cancer_incidence,all,whole,median
S_infant_eff50,2044,14.66077728613298,asr_cancer_incidence,all,whole,median
S_infant_eff50,2045,13.990380139860106,asr_cancer_incidence,all,whole,median
S_infant_eff50,2046,14.381936687708668,asr_cancer_incidence,all,whole,median
S_infant_eff50,2047,13.388744004871906,asr_cancer_incidence,all,whole,median
S_infant_eff50,2048,12.839542125566124,asr_cancer_incidence,all,whole,median
S_infant_eff50,2049,12.799142015010585,asr_cancer_incidence,all,whole,median
S_infant_eff50,2050,12.394036069586909,asr_cancer_incidence,all,whole,median
S_infant_eff50,2051,12.54467774122829,asr_cancer_incidence,all,whole,median
S_infant_eff50,2052,11.949382045669,asr_cancer_incidence,all,whole,median
S_infant_eff50,2053,11.47844045966446,asr_cancer_incidence,all,whole,median
S_infant_eff50,2054,11.051215099955265,asr_cancer_incidence,all,whole,median
S_infant_eff50,2055,11.177235366071123,asr_cancer_incidence,all,whole,median
S_infant_eff50,2056,10.539871201793108,asr_cancer_incidence,all,whole,median
S_infant_eff50,2057,10.40083143930631,asr_cancer_incidence,all,whole,median
S_infant_eff50,2058,10.03946311528854,asr_cancer_incidence,all,whole,median
S_infant_eff50,2059,9.379884968300823,asr_cancer_incidence,all,whole,median
S_infant_eff50,2060,9.645107680831282,asr_cancer_incidence,all,whole,median
S_infant_eff50,2061,8.875339321440798,asr_cancer_incidence,all,whole,median
S_infant_eff50,2062,8.720697019870666,asr_cancer_incidence,all,whole,median
S_infant_eff50,2063,8.223865182662966,asr_cancer_incidence,all,whole,median
S_infant_eff50,2064,8.367470637866296,asr_cancer_incidence,all,whole,median
S_infant_eff50,2065,7.653764620256145,asr_cancer_incidence,all,whole,median
S_infant_eff50,2066,7.984824056393739,asr_cancer_incidence,all,whole,median
S_infant_eff50,2067,7.836645730591861,asr_cancer_incidence,all,whole,median
S_infant_eff50,2068,7.2108504598209855,asr_cancer_incidence,all,whole,median
S_infant_eff50,2069,6.667403308798182,asr_cancer_incidence,all,whole,median
