coverage,efficacy,metric,val
10,50,Cancers,502276.6756515503
10,50,Cancer deaths,356351.40478515625
10,60,Cancers,611598.2432785034
10,60,Cancer deaths,434695.5749511719
10,70,Cancers,724967.0739707947
10,70,Cancer deaths,514885.5119628906
10,80,Cancers,839781.4127388
10,80,Cancer deaths,599478.5543823242
10,90,Cancers,956675.0699453354
10,90,Cancer deaths,681247.3659667969
20,50,Cancers,409244.3703842163
20,50,Cancer deaths,291183.1936035156
20,60,Cancers,518565.93801116943
20,60,Cancer deaths,369527.36376953125
20,70,Cancers,631934.7687034607
20,70,Cancer deaths,449717.30078125
20,80,Cancers,746749.1074714661
20,80,Cancer deaths,534310.3432006836
20,90,Cancers,863642.7646780014
20,90,Cancer deaths,616079.1547851562
30,50,Cancers,306238.34830474854
30,50,Cancer deaths,211082.23797607422
30,60,Cancers,415559.91593170166
30,60,Cancer deaths,289426.40814208984
30,70,Cancers,528928.7466239929
30,70,Cancer deaths,369616.3451538086
30,80,Cancers,643743.0853919983
30,80,Cancer deaths,454209.3875732422
30,90,Cancers,760636.7425985336
30,90,Cancer deaths,535978.1991577148
40,50,Cancers,204444.2942199707
40,50,Cancer deaths,135595.64575195312
40,60,Cancers,313765.8618469238
40,60,Cancer deaths,213939.81591796875
40,70,Cancers,427134.6925392151
40,70,Cancer deaths,294129.7529296875
40,80,Cancers,541949.0313072205
40,80,Cancer deaths,378722.7953491211
40,90,Cancers,658842.6885137558
40,90,Cancer deaths,460491.60693359375
50,50,Cancers,89296.35896301272
50,50,Cancer deaths,52370.263244628906
50,60,Cancers,198617.92658996582
50,60,Cancer deaths,130714.43341064453
50,70,Cancers,311986.7572822571
50,70,Cancer deaths,210904.37042236328
50,80,Cancers,426801.09605026245
50,80,Cancer deaths,295497.4128417969
50,90,Cancers,543694.7532567978
50,90,Cancer deaths,377266.22442626953
60,50,Cancers,-33223.4263076782
60,50,Cancer deaths,-34991.36608886719
60,60,Cancers,76098.14131927492
60,60,Cancer deaths,43352.80407714844
60,70,Cancers,189466.97201156616
60,70,Cancer deaths,123542.74108886719
60,80,Cancers,304281.31077957153
60,80,Cancer deaths,208135.78350830078
60,90,Cancers,421174.9679861069
60,90,Cancer deaths,289904.59509277344
70,50,Cancers,-161035.81385040283
70,50,Cancer deaths,-127456.61944580078
70,60,Cancers,-51714.24622344969
70,60,Cancer deaths,-49112.449279785156
70,70,Cancers,61654.58446884157
70,70,Cancer deaths,31077.4877319336
70,80,Cancers,176468.92323684698
70,80,Cancer deaths,115670.53015136719
70,90,Cancers,293362.58044338226
70,90,Cancer deaths,197439.34173583984
80,50,Cancers,-325818.714679718
80,50,Cancer deaths,-243004.83032226562
80,60,Cancers,-216497.1470527649
80,60,Cancer deaths,-164660.66015625
80,70,Cancers,-103128.31636047363
80,70,Cancer deaths,-84470.72314453124
80,80,Cancers,11686.022407531756
80,80,Cancer deaths,122.31927490235284
80,90,Cancers,128579.67961406709
80,90,Cancer deaths,81891.130859375
90,50,Cancers,-510804.8530960083
90,50,Cancer deaths,-366136.1564941406
90,60,Cancers,-401483.2854690552
90,60,Cancer deaths,-287791.986328125
90,70,Cancers,-288114.4547767639
90,70,Cancer deaths,-207602.04931640625
90,80,Cancers,-173300.11600875854
90,80,Cancer deaths,-123009.00689697264
90,90,Cancers,-56406.45880222319
90,90,Cancer deaths,-41240.195312499985
