scenario,year,metric,value,low,high
Baseline,2016.0,asr_cancer_incidence,19.677953621903463,17.23411619314549,20.582520028738323
Baseline,2017.0,asr_cancer_incidence,19.54504031741354,18.380304607879545,20.61257814142494
Baseline,2018.0,asr_cancer_incidence,18.94655535755872,18.293434880450505,20.393047843122307
Baseline,2019.0,asr_cancer_incidence,19.0864744528472,18.005502561312692,21.11154142388776
Baseline,2020.0,asr_cancer_incidence,19.67311534031909,18.208442620959215,20.7856943878558
Baseline,2021.0,asr_cancer_incidence,19.188114739413855,17.618799522687862,20.29314634117304
Baseline,2022.0,asr_cancer_incidence,19.412832807177033,18.51378471101868,20.60399015364717
Baseline,2023.0,asr_cancer_incidence,19.007274383361455,18.14282306817903,20.938198416670332
Baseline,2024.0,asr_cancer_incidence,18.97705016354868,18.354903396835724,20.68727712127976
Baseline,2025.0,asr_cancer_incidence,19.12903314350281,18.155973982523975,20.744678636748223
Baseline,2026.0,asr_cancer_incidence,18.974112814122556,17.58052404695146,20.184063862988033
Baseline,2027.0,asr_cancer_incidence,19.240209152699784,18.540896126926175,20.22377845095398
Baseline,2028.0,asr_cancer_incidence,19.248995207652698,18.519224135367136,19.92489170433977
Baseline,2029.0,asr_cancer_incidence,18.8520275989015,18.06926038434586,19.62443998710785
Baseline,2030.0,asr_cancer_incidence,18.918299645778603,18.03269996237356,19.754586244782196
Baseline,2031.0,asr_cancer_incidence,18.588143913055468,17.686882099321437,19.436496909294828
Baseline,2032.0,asr_cancer_incidence,18.84122921155859,18.221693503117525,19.99054589255066
Baseline,2033.0,asr_cancer_incidence,18.913824995583912,17.859199957789947,19.80411805314306
Baseline,2034.0,asr_cancer_incidence,18.690586563306248,17.767953000895766,19.91057309059604
Baseline,2035.0,asr_cancer_incidence,19.00133098618125,17.7917055314065,19.730057499839184
Baseline,2036.0,asr_cancer_incidence,18.501306690253394,17.305485043901225,19.35569796513892
Baseline,2037.0,asr_cancer_incidence,18.670465437170197,17.704290091859626,19.196896135477967
Baseline,2038.0,asr_cancer_incidence,18.383876669087,17.555098742630847,19.02978379093736
Baseline,2039.0,asr_cancer_incidence,18.376333581318633,17.889068798155837,19.13905581138628
Baseline,2040.0,asr_cancer_incidence,18.38994791688873,17.205602298845143,19.344904122537315
Baseline,2041.0,asr_cancer_incidence,18.28632656261363,17.61255347235364,19.32790243850665
Baseline,2042.0,asr_cancer_incidence,18.36687016291911,17.82056782710632,19.36736041194848
Baseline,2043.0,asr_cancer_incidence,18.389248880221864,17.60503840715863,18.986002591669983
Baseline,2044.0,asr_cancer_incidence,18.172967081140527,17.694256479684817,18.621500321553015
Baseline,2045.0,asr_cancer_incidence,18.20604769773517,17.055957521610278,19.40481931752517
Baseline,2046.0,asr_cancer_incidence,18.136829001916993,17.196952564035918,18.543575757286316
Baseline,2047.0,asr_cancer_incidence,17.961715759074686,17.385656727595762,18.96391282795558
Baseline,2048.0,asr_cancer_incidence,18.107037121824593,17.514456600616015,18.80988465785178
Baseline,2049.0,asr_cancer_incidence,18.326517510536625,17.544764433919116,18.748906941523124
Baseline,2050.0,asr_cancer_incidence,17.778510373173795,17.1244315319615,18.56951791147444
Baseline,2051.0,asr_cancer_incidence,17.762803416269875,17.098993343764217,18.692585934518817
Baseline,2052.0,asr_cancer_incidence,17.88195618871355,17.14153990264378,18.817270521066956
Baseline,2053.0,asr_cancer_incidence,18.085240483818605,17.385675621403013,18.820472774443218
Baseline,2054.0,asr_cancer_incidence,17.957117762705757,17.24545625970734,18.583978866617365
Baseline,2055.0,asr_cancer_incidence,17.727715117464463,17.272068178122346,18.830620256830795
Baseline,2056.0,asr_cancer_incidence,17.83410403530553,17.356412561958276,18.964692832559216
Baseline,2057.0,asr_cancer_incidence,18.02702068408934,17.137165897394087,18.625252729875335
Baseline,2058.0,asr_cancer_incidence,17.999440977484337,16.887226094768902,18.606567304501286
Baseline,2059.0,asr_cancer_incidence,17.695603617926764,17.281613340176843,18.007982346635636
Baseline,2060.0,asr_cancer_incidence,17.766044946861516,17.222547327488822,18.716560434659268
Baseline,2061.0,asr_cancer_incidence,17.738292075162512,17.167558013128197,18.48898986524955
Baseline,2062.0,asr_cancer_incidence,17.735434086067187,17.351943873971905,18.456101934546492
Baseline,2063.0,asr_cancer_incidence,17.76808636849715,17.22677692119084,18.17191942215903
Baseline,2064.0,asr_cancer_incidence,17.866014763571442,17.030158176608698,18.706500588573377
Baseline,2065.0,asr_cancer_incidence,17.73147765929994,17.372953062151353,18.517416071017827
Baseline,2066.0,asr_cancer_incidence,17.524824680572614,16.823556806729595,18.01996732314056
Baseline,2067.0,asr_cancer_incidence,17.953189990207193,17.3100816238521,18.434190878092775
Baseline,2068.0,asr_cancer_incidence,17.88530247938072,17.026887868360166,18.332960576598424
Baseline,2069.0,asr_cancer_incidence,17.4575484743315,16.884258383866477,18.43761971600598
Baseline,2070.0,asr_cancer_incidence,17.612910618012076,16.83252869909897,18.111403230213817
Baseline,2071.0,asr_cancer_incidence,17.64077714102091,17.20624442433501,17.96268762404221
Baseline,2072.0,asr_cancer_incidence,17.56662056590128,16.849652180007705,18.153750070853967
Baseline,2073.0,asr_cancer_incidence,17.48435071381452,16.913346594861007,18.082944846965116
Baseline,2074.0,asr_cancer_incidence,17.293581898357715,17.030864876448984,18.057153134994017
Baseline,2075.0,asr_cancer_incidence,17.601462386165807,16.76286280752508,18.104558299396828
Baseline,2076.0,asr_cancer_incidence,17.450174519386657,17.243901785916847,18.007002978219727
Baseline,2077.0,asr_cancer_incidence,17.25250249369802,17.016289730221402,17.79502288361674
Baseline,2078.0,asr_cancer_incidence,17.582934628993215,17.004062531366532,17.995372138152742
Baseline,2079.0,asr_cancer_incidence,17.20852822097647,16.684281872159175,17.622919032101397
Baseline,2080.0,asr_cancer_incidence,17.232980279502318,16.938469917642543,17.684995332265412
Baseline,2081.0,asr_cancer_incidence,17.317175654755587,16.808583356345864,17.72529510482727
Baseline,2082.0,asr_cancer_incidence,17.22309336811353,16.6350875222546,17.89956406104177
Baseline,2083.0,asr_cancer_incidence,17.128016054519566,16.473815388912605,17.61683211992489
Baseline,2084.0,asr_cancer_incidence,17.10582525486091,16.790290864579465,17.575784631334358
Baseline,2085.0,asr_cancer_incidence,17.138295025623673,16.506308239250895,17.595751202385422
