bin,median,pi95_low,pi95_high
0,0.0,0.0,22.237913131713867
1,44.475826263427734,0.0,133.42747688293457
2,311.33079528808594,222.3791275024414,466.9961738586426
3,845.0407257080078,689.3753051757812,1090.7696386337277
4,1267.561065673828,1077.9828559875486,1513.2899497985836
5,1623.367645263672,1378.7506408691406,1901.89751663208
6,1712.3193359375,1445.46435546875,2023.650146484375
7,1590.010009765625,1312.0369873046875,1934.6978759765625
8,1267.5556640625,1022.9430786132813,1512.1761474609375
9,1022.9384765625,821.6872192382813,1179.716970825195
10,711.609375,544.2700469970703,1022.9384765625
11,533.70703125,333.56689453125,822.79833984375
12,311.3291015625,133.4267578125,422.51806640625
13,111.18896484375,22.23779296875,222.3779296875
14,44.4755859375,0.0,111.18896484375
15,22.23779296875,0.0,44.4755859375
