year,bin,m,f
2025,0,18320864,18367568
2025,5,16243648,16103984
2025,10,14414008,14645040
2025,15,12434240,12892528
2025,20,10461128,10535088
2025,25,8516840,8500128
2025,30,6992360,7032288
2025,35,5750496,6116000
2025,40,4862624,5393200
2025,45,4091680,4412416
2025,50,3027488,3462768
2025,55,2427472,2586512
2025,60,1951152,2006048
2025,65,1329048,1547904
2025,70,946128,1011920
2025,75,560280,580464
2025,80,275992,257984
2025,85,105120,60048
2025,90,17888,17792
2025,95,2224,0
2050,0,21509634,21903728
2050,5,20934510,20847540
2050,10,19874740,20353836
2050,15,18978100,19244272
2050,20,17177680,17903200
2050,25,15503576,16063952
2050,30,13585200,14311440
2050,35,11764144,12763536
2050,40,9827344,10955424
2050,45,7981824,8847072
2050,50,6317952,6947776
2050,55,5132144,5446576
2050,60,4071280,4376832
2050,65,3139904,3416064
2050,70,2224048,2330752
2050,75,1228304,1281024
2050,80,573664,542656
2050,85,228384,162352
2050,90,42592,31136
2050,95,6672,2224
2075,0,20933616,20849552
2075,5,20794400,20669856
2075,10,20819024,20696544
2075,15,20519776,20318464
2075,20,19897752,20166784
2075,25,19053168,19840304
2075,30,18412088,18984064
2075,35,16943776,18368016
2075,40,15671440,17080320
2075,45,13900496,15696992
2075,50,12338976,13704288
2075,55,10567312,11709360
2075,60,8817824,9796720
2075,65,6761536,7461520
2075,70,4798208,4975088
2075,75,2872160,2826704
2075,80,1422656,1301040
2075,85,470768,515968
2075,90,125136,97856
2075,95,15616,15568
2100,0,18469872,19079248
2100,5,18738976,19030768
2100,10,19337788,18886208
2100,15,19259684,19377712
2100,20,19435384,19239824
2100,25,19108920,19324336
2100,30,18740752,19321664
2100,35,18269104,19081920
2100,40,17651040,18450304
2100,45,16675312,18107808
2100,50,15456112,17549584
2100,55,14947968,16095088
2100,60,13304736,14551632
2100,65,11456800,12274256
2100,70,8915216,9338576
2100,75,6061024,6184944
2100,80,3344336,3240368
2100,85,1371616,1216544
2100,90,342160,271296
2100,95,35728,46720
