bins,partners,counts,popsize,shares
15,0,1503,3070,0.48957654723127036
20,0,2362,3730,0.6332439678284182
25,0,2540,3416,0.7435597189695551
30,0,2268,2862,0.7924528301886793
35,0,2000,2542,0.7867820613690008
40,0,1501,2142,0.7007469654528478
45,0,1119,1657,0.6753168376584189
15,1,1476,3070,0.48078175895765474
20,1,1274,3730,0.3415549597855228
25,1,834,3416,0.24414519906323184
30,1,572,2862,0.19986023759608665
35,1,522,2542,0.2053501180173092
40,1,613,2142,0.2861811391223156
45,1,507,1657,0.3059746529873265
15,2,90,3070,0.029315960912052116
20,2,91,3730,0.024396782841823058
25,2,39,3416,0.011416861826697893
30,2,21,2862,0.007337526205450734
35,2,20,2542,0.007867820613690008
40,2,27,2142,0.012605042016806723
45,2,30,1657,0.018105009052504527
15,3,1,3070,0.0003257328990228013
20,3,3,3730,0.0008042895442359249
25,3,3,3416,0.0008782201405152225
30,3,1,2862,0.00034940600978336826
35,3,0,2542,0.0
40,3,1,2142,0.00046685340802987864
45,3,1,1657,0.0006035003017501509
15,5,0,3070,0.0
20,5,0,3730,0.0
25,5,0,3416,0.0
30,5,0,2862,0.0
35,5,0,2542,0.0
40,5,0,2142,0.0
45,5,0,1657,0.0
