age,cohort,model_prop_f,model_prop_m
12,1980.0,0.0665024630541872,0.0
13,1980.0,0.11910669975186104,0.002857142857142857
14,1980.0,0.195,0.005714285714285714
15,1980.0,0.2681704260651629,0.011494252873563218
16,1980.0,0.398989898989899,0.07514450867052024
17,1980.0,0.5139949109414759,0.21282798833819241
18,1980.0,0.6234096692111959,0.3058823529411765
19,1980.0,0.712468193384224,0.4230769230769231
20,1980.0,0.7698209718670077,0.5029585798816568
21,1980.0,0.8372093023255814,0.6119402985074627
22,1980.0,0.8808290155440415,0.7207207207207207
23,1980.0,0.8997429305912596,0.8103975535168195
24,1980.0,0.9175257731958762,0.8544891640866873
25,1980.0,0.9381443298969072,0.9
26,1980.0,0.9533678756476683,0.9278996865203761
27,1980.0,0.9686684073107049,0.9463722397476341
28,1980.0,0.9763157894736842,0.9650793650793651
29,1980.0,0.9788359788359788,0.9742765273311897
30,1980.0,0.9814323607427056,0.9806138933764136
12,1981.0,0.038461538461538464,0.0
13,1981.0,0.09178743961352658,0.0027548209366391185
14,1981.0,0.13559322033898305,0.008287292817679558
15,1981.0,0.22195121951219512,0.011204481792717087
16,1981.0,0.33007334963325186,0.059322033898305086
17,1981.0,0.4753694581280788,0.21468926553672316
18,1981.0,0.5891089108910891,0.301994301994302
19,1981.0,0.6633416458852868,0.38746438746438744
20,1981.0,0.75,0.5085714285714286
21,1981.0,0.8,0.5953757225433526
22,1981.0,0.8421052631578947,0.6938775510204082
23,1981.0,0.9040404040404041,0.7735294117647059
24,1981.0,0.9267676767676768,0.8230088495575221
25,1981.0,0.9417721518987342,0.8652694610778443
26,1981.0,0.9644670050761421,0.9006024096385542
27,1981.0,0.9769820971867008,0.9270516717325228
28,1981.0,0.9820051413881749,0.9602446483180428
29,1981.0,0.979328165374677,0.9758454106280193
30,1981.0,0.9895833333333334,0.0
12,1982.0,0.045454545454545456,0.0
13,1982.0,0.08872901678657075,0.0
14,1982.0,0.14841849148418493,0.005208333333333333
15,1982.0,0.24019607843137256,0.015584415584415584
16,1982.0,0.34236453201970446,0.052083333333333336
17,1982.0,0.5074257425742574,0.1514360313315927
18,1982.0,0.6069651741293532,0.2736842105263158
19,1982.0,0.7075,0.38786279683377306
20,1982.0,0.7844611528822055,0.4960212201591512
21,1982.0,0.8567839195979899,0.576
22,1982.0,0.8987341772151899,0.6890080428954424
23,1982.0,0.923469387755102,0.7473118279569892
24,1982.0,0.9435897435897436,0.8184281842818428
25,1982.0,0.9665809768637532,0.8661202185792349
26,1982.0,0.9792207792207792,0.9068493150684932
27,1982.0,0.9869451697127938,0.9501385041551247
28,1982.0,0.9921465968586387,0.9712460063897763
29,1982.0,0.9973753280839895,0.0
30,1982.0,1.0,0.0
12,1983.0,0.029925187032418952,0.0
13,1983.0,0.09045226130653267,0.002288329519450801
14,1983.0,0.1446700507614213,0.006880733944954129
15,1983.0,0.22704081632653061,0.022988505747126436
16,1983.0,0.35384615384615387,0.08525345622119816
17,1983.0,0.49222797927461137,0.20785219399538107
18,1983.0,0.6025974025974026,0.3109048723897912
19,1983.0,0.7101827676240209,0.45813953488372094
20,1983.0,0.7716535433070866,0.5539906103286385
21,1983.0,0.8210526315789474,0.6320754716981132
22,1983.0,0.8710526315789474,0.7315914489311164
23,1983.0,0.9021164021164021,0.7875894988066826
24,1983.0,0.9202127659574468,0.8321342925659473
25,1983.0,0.9436997319034852,0.8647342995169082
26,1983.0,0.9675675675675676,0.902676399026764
27,1983.0,0.9701897018970189,0.9570063694267515
28,1983.0,0.9782016348773842,0.0
29,1983.0,0.9808219178082191,0.0
30,1983.0,0.9862258953168044,0.0
12,1984.0,0.04018912529550828,0.0
13,1984.0,0.0880952380952381,0.002242152466367713
14,1984.0,0.15347721822541965,0.0044943820224719105
15,1984.0,0.23261390887290168,0.004514672686230248
16,1984.0,0.37681159420289856,0.047619047619047616
17,1984.0,0.5254237288135594,0.16666666666666666
18,1984.0,0.6228710462287105,0.2814645308924485
19,1984.0,0.6982968369829684,0.4068965517241379
20,1984.0,0.7897310513447433,0.5174013921113689
21,1984.0,0.843520782396088,0.6150234741784038
22,1984.0,0.8875305623471883,0.6919431279620853
23,1984.0,0.9144254278728606,0.7703349282296651
24,1984.0,0.9459459459459459,0.8285024154589372
25,1984.0,0.9652605459057072,0.8695652173913043
26,1984.0,0.975,0.9300476947535771
27,1984.0,0.9824120603015075,0.0
28,1984.0,0.9899244332493703,0.0
29,1984.0,0.9923857868020305,0.0
30,1984.0,0.9948586118251928,0.0
12,1985.0,0.03736263736263736,0.0
13,1985.0,0.08609271523178808,0.0
14,1985.0,0.1504424778761062,0.006711409395973154
15,1985.0,0.2222222222222222,0.018018018018018018
16,1985.0,0.3638392857142857,0.08823529411764706
17,1985.0,0.5078651685393258,0.20634920634920634
18,1985.0,0.6328828828828829,0.2876712328767123
19,1985.0,0.7181818181818181,0.3972602739726027
20,1985.0,0.7968036529680366,0.4861751152073733
21,1985.0,0.8528735632183908,0.6105990783410138
22,1985.0,0.8845265588914549,0.6921296296296297
23,1985.0,0.91415313225058,0.7627906976744186
24,1985.0,0.9316037735849056,0.8093023255813954
25,1985.0,0.9528301886792453,0.8960629921259843
26,1985.0,0.9619952494061758,0.0
27,1985.0,0.9736842105263158,0.0
28,1985.0,0.980722891566265,0.0
29,1985.0,0.9878640776699029,0.0
30,1985.0,0.9878048780487805,0.0
