scenario,year,metric,value,low,high
Baseline,1960.0,cancers,0.0,0.0,0.0
Baseline,1961.0,cancers,44.59706115722656,44.59706115722656,44.59706115722656
Baseline,1962.0,cancers,133.7911834716797,89.19412231445312,178.38824462890625
Baseline,1963.0,cancers,282.44805399576825,267.5823669433594,312.17942810058594
Baseline,1964.0,cancers,728.4186706542969,668.9559326171875,802.7471008300781
Baseline,1965.0,cancers,1263.5833791097004,1114.9265441894531,1471.7029571533203
Baseline,1966.0,cancers,1873.076624552409,1427.1060028076172,2229.8530883789062
Baseline,1967.0,cancers,2512.3011474609375,2408.2413024902344,2631.2265625
Baseline,1968.0,cancers,3344.7794392903647,2988.0030517578125,3835.346923828125
Baseline,1969.0,cancers,4771.8852132161455,4459.7056884765625,5262.452880859375
Baseline,1970.0,cancers,6763.88720703125,5530.03515625,8741.0234375
Baseline,1971.0,cancers,8681.560831705729,6912.544189453125,10391.11474609375
Baseline,1972.0,cancers,9915.412434895834,9276.18798828125,10569.502685546875
Baseline,1973.0,cancers,11164.130493164062,10747.891235351562,11550.638671875
Baseline,1974.0,cancers,12962.87841796875,10837.085205078125,14627.83544921875
Baseline,1975.0,cancers,16084.673502604166,13602.10302734375,19533.513671875
Baseline,1976.0,cancers,17184.734619140625,16144.135986328125,17972.6171875
Baseline,1977.0,cancers,21153.873372395832,19265.93017578125,23725.63818359375
Baseline,1978.0,cancers,22625.5771484375,21897.15771484375,23814.83251953125
Baseline,1979.0,cancers,23235.069173177082,22655.30712890625,24037.81640625
Baseline,1980.0,cancers,24305.398763020832,21941.75390625,25955.49072265625
Baseline,1981.0,cancers,26460.923177083332,24483.78759765625,27828.56640625
Baseline,1982.0,cancers,29657.046712239582,26936.62548828125,32199.078125
Baseline,1983.0,cancers,29924.62841796875,26669.04345703125,33715.37890625
Baseline,1984.0,cancers,31976.093098958332,29166.47705078125,37283.14501953125
Baseline,1985.0,cancers,33224.811197916664,31262.5400390625,35410.06787109375
Baseline,1986.0,cancers,32793.706705729164,28809.70263671875,34964.0966796875
Baseline,1987.0,cancers,34072.154459635414,32868.033203125,34785.70751953125
Baseline,1988.0,cancers,34414.06591796875,33804.57421875,34830.30419921875
Baseline,1989.0,cancers,35023.55908203125,33804.57373046875,37193.947265625
Baseline,1990.0,cancers,35380.3349609375,33358.60009765625,39022.4296875
Baseline,1991.0,cancers,37773.7099609375,36970.9619140625,38175.083984375
Baseline,1992.0,cancers,37372.33740234375,34384.33544921875,39379.205078125
Baseline,1993.0,cancers,36629.05322265625,35365.470703125,38754.84765625
Baseline,1994.0,cancers,36807.441080729164,34964.0966796875,39780.5791015625
Baseline,1995.0,cancers,38264.27734375,36703.380859375,40003.5625
Baseline,1996.0,cancers,38903.501953125,37015.560546875,40271.142578125
Baseline,1997.0,cancers,37862.904947916664,34562.7216796875,39557.59375
Baseline,1998.0,cancers,39572.458333333336,39111.62109375,40092.759765625
Baseline,1999.0,cancers,41445.5361328125,40806.3125,42055.029296875
Baseline,2000.0,cancers,41133.356119791664,39156.2197265625,45043.0322265625
Baseline,2001.0,cancers,40642.7880859375,37461.53125,44418.673828125
Baseline,2002.0,cancers,42411.805338541664,37238.54296875,46603.9306640625
Baseline,2003.0,cancers,42932.103190104164,41341.474609375,44641.65625
Baseline,2004.0,cancers,42055.027994791664,41519.86328125,42411.8046875
Baseline,2005.0,cancers,42946.970703125,39869.771484375,45845.78125
Baseline,2006.0,cancers,43898.374348958336,43125.357421875,44686.255859375
Baseline,2007.0,cancers,47689.124674479164,46157.9560546875,49145.962890625
Baseline,2008.0,cancers,44894.374674479164,44374.076171875,45845.7783203125
Baseline,2009.0,cancers,47659.39453125,46202.55859375,50305.4853515625
Baseline,2010.0,cancers,47466.140625,46782.3193359375,47852.6474609375
Baseline,2011.0,cancers,50439.276692708336,48744.5888671875,53561.0693359375
Baseline,2012.0,cancers,51806.920247395836,50573.0673828125,52490.7412109375
Baseline,2013.0,cancers,53531.3408203125,50751.455078125,55255.76171875
Baseline,2014.0,cancers,53665.130859375,52758.3271484375,54809.7861328125
Baseline,2015.0,cancers,57931.583333333336,52981.3125,62034.51171875
Baseline,2016.0,cancers,57827.521809895836,55746.3251953125,60027.642578125
Baseline,2017.0,cancers,61083.108723958336,58778.927734375,62257.5
Baseline,2018.0,cancers,63862.993489583336,61365.55859375,66048.25
Baseline,2019.0,cancers,63565.6787109375,61410.1533203125,65914.4580078125
Baseline,2020.0,cancers,62435.8857421875,60830.3916015625,63907.5869140625
Baseline,2021.0,cancers,66598.27864583333,63996.7861328125,70240.37109375
Baseline,2022.0,cancers,64636.007486979164,62480.4853515625,66092.8447265625
Baseline,2023.0,cancers,68218.63802083333,65156.3046875,70463.35546875
Baseline,2024.0,cancers,65780.66536458333,62034.5126953125,69660.609375
Baseline,2025.0,cancers,70433.62434895833,69303.8310546875,71667.4775390625
Baseline,2026.0,cancers,71563.4169921875,69303.8291015625,72827.001953125
Baseline,2027.0,cancers,71845.86393229167,69616.009765625,73005.384765625
Baseline,2028.0,cancers,71830.9970703125,67921.3203125,78178.646484375
Baseline,2029.0,cancers,72856.732421875,72291.833984375,73183.779296875
Baseline,2030.0,cancers,75175.78255208333,72960.794921875,76483.962890625
Baseline,2031.0,cancers,75874.46744791667,69660.611328125,82905.9375
Baseline,2032.0,cancers,76067.72330729167,73228.376953125,77598.888671875
Baseline,2033.0,cancers,80185.51692708333,79070.58984375,81523.4296875
Baseline,2034.0,cancers,79531.427734375,77509.697265625,82816.74609375
Baseline,2035.0,cancers,81999.12955729167,77242.107421875,86116.92578125
Baseline,2036.0,cancers,80586.888671875,78000.259765625,82415.369140625
Baseline,2037.0,cancers,85552.02994791667,79338.173828125,91067.201171875
Baseline,2038.0,cancers,87499.4375,86473.703125,88748.154296875
Baseline,2039.0,cancers,91706.42317708333,87410.240234375,97533.7734375
Baseline,2040.0,cancers,91542.90234375,90086.06640625,94322.783203125
Baseline,2041.0,cancers,94382.248046875,90755.0234375,98871.68359375
Baseline,2042.0,cancers,98068.939453125,90130.666015625,103688.16796875
Baseline,2043.0,cancers,97221.59244791667,91423.9765625,101190.728515625
Baseline,2044.0,cancers,99406.84895833333,95259.322265625,103732.763671875
Baseline,2045.0,cancers,104803.091796875,102885.416015625,106408.587890625
Baseline,2046.0,cancers,109054.677734375,104936.880859375,111492.65234375
Baseline,2047.0,cancers,107895.15234375,102573.23828125,111314.2578125
Baseline,2048.0,cancers,110600.70703125,108638.4375,113187.3359375
Baseline,2049.0,cancers,114837.42513020833,109976.349609375,118984.9453125
Baseline,2050.0,cancers,117840.294921875,113544.11328125,122686.50390625
Baseline,2051.0,cancers,117483.517578125,114346.85546875,119074.146484375
Baseline,2052.0,cancers,121675.640625,118984.955078125,124871.76171875
Baseline,2053.0,cancers,127740.837890625,125094.75,129955.82421875
Baseline,2054.0,cancers,127146.2109375,122686.50390625,129955.828125
