scenario,year,metric,value,low,high
Baseline,1960.0,cancers,0.0,0.0,0.0
Baseline,1960.0,cancers,0.0,0.0,0.0
Baseline,1960.0,cancers,0.0,0.0,0.0
Baseline,1960.0,cancers,0.0,0.0,0.0
Baseline,1961.0,cancers,0.0,0.0,0.0
Baseline,1961.0,cancers,0.0,0.0,0.0
Baseline,1961.0,cancers,0.0,0.0,0.0
Baseline,1961.0,cancers,0.0,0.0,0.0
Baseline,1962.0,cancers,0.0,0.0,0.0
Baseline,1962.0,cancers,0.0,0.0,0.0
Baseline,1962.0,cancers,0.0,0.0,0.0
Baseline,1962.0,cancers,0.0,0.0,0.0
Baseline,1963.0,cancers,247.76147403287825,0.0,495.5229480657565
Baseline,1963.0,cancers,0.0,0.0,0.0
Baseline,1963.0,cancers,247.76147403287825,0.0,495.5229480657565
Baseline,1963.0,cancers,123.88073701643913,0.0,247.76147403287825
Baseline,1964.0,cancers,0.0,0.0,0.0
Baseline,1964.0,cancers,0.0,0.0,0.0
Baseline,1964.0,cancers,247.76147403287825,247.76147403287825,247.76147403287825
Baseline,1964.0,cancers,247.76147403287825,247.76147403287825,247.76147403287825
Baseline,1965.0,cancers,371.6422110493174,247.76147403287825,495.5229480657565
Baseline,1965.0,cancers,247.76147403287825,0.0,495.5229480657565
Baseline,1965.0,cancers,371.6422110493174,247.76147403287825,495.5229480657565
Baseline,1965.0,cancers,495.5229480657565,247.76147403287825,743.2844220986348
Baseline,1966.0,cancers,371.6422110493174,247.76147403287825,495.5229480657565
Baseline,1966.0,cancers,371.6422110493174,247.76147403287825,495.5229480657565
Baseline,1966.0,cancers,867.1651591150738,495.5229480657565,1238.8073701643912
Baseline,1966.0,cancers,371.6422110493174,247.76147403287825,495.5229480657565
Baseline,1967.0,cancers,867.165159115074,743.2844220986348,991.045896131513
Baseline,1967.0,cancers,619.4036850821956,495.5229480657565,743.2844220986348
Baseline,1967.0,cancers,1486.56885804202,991.0459238210141,1982.091792263026
Baseline,1967.0,cancers,991.0459099762635,495.5229480657565,1486.5688718867705
Baseline,1968.0,cancers,743.2844082538843,247.76147403287825,1238.8073424748902
Baseline,1968.0,cancers,619.4036850821956,495.5229480657565,743.2844220986348
Baseline,1968.0,cancers,495.5229480657565,247.76147403287825,743.2844220986348
Baseline,1968.0,cancers,1238.8073840091417,991.045896131513,1486.5688718867705
Baseline,1969.0,cancers,619.4036850821956,495.5229480657565,743.2844220986348
Baseline,1969.0,cancers,1114.9266469927027,991.0459238210141,1238.8073701643912
Baseline,1969.0,cancers,1858.2110275570858,1238.8073978538923,2477.6146572602793
Baseline,1969.0,cancers,1362.6881071808305,991.045896131513,1734.330318230148
Baseline,1970.0,cancers,2353.7339340885906,2229.853210916902,2477.6146572602793
Baseline,1970.0,cancers,2601.495408121469,2477.6146849497804,2725.3761312931574
Baseline,1970.0,cancers,1486.5688580420199,1238.8073701643912,1734.3303459196486
Baseline,1970.0,cancers,619.4036850821956,495.5229480657565,743.2844220986348
Baseline,1971.0,cancers,1486.5688441972695,991.045896131513,1982.091792263026
Baseline,1971.0,cancers,2105.9725154347143,743.2844220986348,3468.660608770794
Baseline,1971.0,cancers,2477.6147126392816,1734.3303736091498,3220.899051669413
Baseline,1971.0,cancers,2353.7340033123437,1982.0918199525272,2725.3761866721597
Baseline,1972.0,cancers,2601.495408121469,2229.853183227401,2973.1376330155367
Baseline,1972.0,cancers,4088.064238473988,2973.137660705038,5202.990816242938
Baseline,1972.0,cancers,2973.1376330155367,2725.3761866721597,3220.8990793589137
Baseline,1972.0,cancers,4459.706491057557,3964.1835568365505,4955.229425278563
Baseline,1973.0,cancers,3220.899134737916,2973.1376883945386,3468.6605810812935
Baseline,1973.0,cancers,2353.734017157094,2229.8532939854053,2477.6147403287823
Baseline,1973.0,cancers,4211.9449893351775,3716.4220551141716,4707.467923556183
Baseline,1973.0,cancers,2105.9725154347143,1982.091792263026,2229.853238606403
Baseline,1974.0,cancers,3840.302819820112,2725.3761589826586,4955.229480657566
Baseline,1974.0,cancers,5450.752290275816,4211.944975490427,6689.559605061206
Baseline,1974.0,cancers,3097.018370031976,2973.1376330155367,3220.8991070484153
Baseline,1974.0,cancers,6441.798144873078,5698.513764308695,7185.082525437461
Baseline,1975.0,cancers,4088.0642800082396,3468.660608770794,4707.467951245685
Baseline,1975.0,cancers,5450.752857910587,3716.4221658721763,7185.083549948999
Baseline,1975.0,cancers,3716.422027424671,3716.4220274246704,3716.422027424671
Baseline,1975.0,cancers,5202.990788553438,4707.467895866683,5698.5136812401915
Baseline,1976.0,cancers,4459.706421833804,2477.61468494978,6441.798158717828
Baseline,1976.0,cancers,3716.4220274246704,3716.4219997351693,3716.4220551141716
Baseline,1976.0,cancers,3964.18352914705,2973.137660705038,4955.2293975890625
Baseline,1976.0,cancers,4583.5871311607425,3964.183501457549,5202.990760863936
Baseline,1977.0,cancers,5574.633096516009,5202.990982379944,5946.275210652072
Baseline,1977.0,cancers,5946.275252186324,4211.944975490427,7680.60552888222
Baseline,1977.0,cancers,3840.302750596359,3468.660525702291,4211.944975490427
Baseline,1977.0,cancers,6937.321563660352,6441.798518681342,7432.8446086393615
Baseline,1978.0,cancers,4707.467909711433,3716.4219720456686,5698.513847377198
Baseline,1978.0,cancers,5079.110120760751,4211.944975490427,5946.275266031074
Baseline,1978.0,cancers,5326.871553259378,4955.22934221006,5698.5137643086955
Baseline,1978.0,cancers,6689.559618905957,5946.275293720576,7432.843944091338
Baseline,1979.0,cancers,7432.844594794613,4707.467978935187,10158.22121065404
Baseline,1979.0,cancers,6937.321079094085,5202.990760863936,8671.651397324233
Baseline,1979.0,cancers,6070.155947668511,5946.27518296257,6194.036712374452
Baseline,1979.0,cancers,9043.294619040338,8423.891058560896,9662.698179519779
Baseline,1980.0,cancers,7185.082719263968,5202.990871621941,9167.174566905996
Baseline,1980.0,cancers,7804.486971980936,7185.08330074349,8423.890643218381
Baseline,1980.0,cancers,4831.348785175378,4211.945141627434,5450.752428723322
Baseline,1980.0,cancers,5946.275196807321,4955.229342210059,6937.321051404582
Baseline,1981.0,cancers,8176.128684619234,7185.082719263968,9167.1746499745
Baseline,1981.0,cancers,6194.036670840199,5450.7522902758155,6937.321051404582
Baseline,1981.0,cancers,7556.724736486779,6441.798158717829,8671.651314255729
Baseline,1981.0,cancers,6689.559660440207,6441.798214096831,6937.321106783584
Baseline,1982.0,cancers,9910.459570484152,8176.128947669493,11644.790193298812
Baseline,1982.0,cancers,6317.91744939089,5698.5136812401915,6937.321217541588
Baseline,1982.0,cancers,8547.77139407957,7185.08277464297,9910.460013516169
Baseline,1982.0,cancers,7680.605736553478,7680.605390434715,7680.6060826722405
Baseline,1983.0,cancers,8300.009227809165,7432.844054849342,9167.17440076899
Baseline,1983.0,cancers,8423.890684752632,7432.844414812856,9414.936954692408
Baseline,1983.0,cancers,7556.724722642028,5946.275266031074,9167.174179252981
Baseline,1983.0,cancers,7928.366906001845,7432.844054849342,8423.889757154348
Baseline,1984.0,cancers,9414.936511660391,7680.605722708728,11149.267300612057
Baseline,1984.0,cancers,6441.798144873077,6441.798075649325,6441.79821409683
Baseline,1984.0,cancers,7308.963414746156,6689.559660440207,7928.367169052104
Baseline,1984.0,cancers,7928.367099828352,7432.843999470339,8423.890200186364
Baseline,1985.0,cancers,7804.48629358816,7185.082525437461,8423.890061738859
Baseline,1985.0,cancers,8547.770895668551,7680.605501192718,9414.936290144384
Baseline,1985.0,cancers,8176.1284492584755,6689.559605061206,9662.697293455745
Baseline,1985.0,cancers,6194.037113872217,5698.513819687697,6689.5604080567355
Baseline,1986.0,cancers,9167.174566905996,9167.174290010988,9167.174843801007
Baseline,1986.0,cancers,9662.69819336453,8423.890310944367,10901.50607578469
Baseline,1986.0,cancers,9662.698151830276,8423.890283254867,10901.506020405686
Baseline,1986.0,cancers,6937.321259075841,6194.036629305948,7680.605888845734
Baseline,1987.0,cancers,9043.293705286804,6689.559660440207,11397.027750133399
Baseline,1987.0,cancers,8919.413217475872,6441.79846330234,11397.027971649406
Baseline,1987.0,cancers,9043.294314455825,8671.65217263026,9414.93645628139
Baseline,1987.0,cancers,9291.055622351698,8671.652504904272,9910.458739799122
Baseline,1988.0,cancers,9538.817359434834,7928.367529015617,11149.267189854052
Baseline,1988.0,cancers,7680.605944224735,5946.275210652072,9414.936677797397
Baseline,1988.0,cancers,7556.724971847538,6937.321494436599,8176.1284492584755
Baseline,1988.0,cancers,10653.744269477798,9662.698124140776,11644.79041481482
Baseline,1989.0,cancers,8671.651397324233,8176.128393879473,9167.17440076899
Baseline,1989.0,cancers,9167.174636129748,8176.128393879473,10158.220878380025
Baseline,1989.0,cancers,11520.908860958101,11397.02752861739,11644.790193298813
Baseline,1989.0,cancers,9291.056065383713,8919.41395124765,9662.698179519777
Baseline,1990.0,cancers,10529.863186342596,8423.890061738859,12635.836310946333
Baseline,1990.0,cancers,8423.88986791235,7432.844110228343,9414.935625596358
Baseline,1990.0,cancers,9291.055788488704,7185.082497747961,11397.029079229447
Baseline,1990.0,cancers,9167.17440076899,7185.082940779977,11149.265860758003
Baseline,1991.0,cancers,10529.863463237605,9662.69795800377,11397.028968471443
Baseline,1991.0,cancers,11025.38630054536,9414.9367331764,12635.835867914318
Baseline,1991.0,cancers,9414.93642859189,9167.175674486038,9662.69718269774
Baseline,1991.0,cancers,8300.00962930693,5450.75240103382,11149.26685758004
Baseline,1992.0,cancers,9043.293871423808,8919.412677530603,9167.175065317015
Baseline,1992.0,cancers,8176.129155340752,7185.082553126962,9167.175757554542
Baseline,1992.0,cancers,9786.578404280448,9167.174511526995,10405.982297033901
Baseline,1992.0,cancers,10653.744186409294,10405.982518549908,10901.50585426868
Baseline,1993.0,cancers,10158.220573795514,9167.174290010986,11149.266857580042
Baseline,1993.0,cancers,9167.174677664001,8671.652061872257,9662.697293455745
Baseline,1993.0,cancers,7556.7250410712895,6441.79818640733,8671.65189573525
Baseline,1993.0,cancers,9910.459681242157,9910.459348968145,9910.460013516169
Baseline,1994.0,cancers,8176.129376856759,7928.36733518911,8423.891418524408
Baseline,1994.0,cancers,9167.175162230269,8671.651812666747,9662.69851179379
Baseline,1994.0,cancers,8671.651729598245,7928.366947536097,9414.936511660393
Baseline,1994.0,cancers,10034.340072139832,8671.651286566228,11397.028857713438
Baseline,1995.0,cancers,10529.862189520558,6937.321051404582,14122.403327636535
Baseline,1995.0,cancers,9910.459293589141,9662.698068761774,10158.22051841651
Baseline,1995.0,cancers,11149.266414548027,9167.174179252983,13131.358649843069
Baseline,1995.0,cancers,8176.128560016479,7432.844387123354,8919.412732909605
Baseline,1996.0,cancers,10529.863366324353,9910.459653552656,11149.26707909605
Baseline,1996.0,cancers,11520.909442437622,9910.459681242155,13131.359203633088
Baseline,1996.0,cancers,12016.432501261383,9662.698567172793,14370.166435349973
Baseline,1996.0,cancers,10653.74379875628,10405.982186275896,10901.505411236663
Baseline,1997.0,cancers,11644.790525572826,11149.267079096051,12140.3139720496
Baseline,1997.0,cancers,10282.101809222971,8671.652089561758,11892.551528884185
Baseline,1997.0,cancers,10034.34001676083,9662.69773648776,10405.982297033901
Baseline,1997.0,cancers,10777.624646530723,10158.22129372254,11397.027999338907
