year,bin,m,f
2025,0,5959,5799
2025,10,5155,4984
2025,20,3678,3558
2025,30,2526,2453
2025,40,1856,1829
2025,50,1135,1138
2025,60,633,684
2025,70,271,293
2050,0,6784,6612
2050,10,6472,6263
2050,20,6013,5807
2050,30,5112,4909
2050,40,3674,3540
2050,50,2217,2141
2050,60,1402,1397
2050,70,647,680
2075,0,6499,6325
2075,10,6512,6319
2075,20,6719,6533
2075,30,6228,6018
2075,40,5378,5222
2075,50,4306,4237
2075,60,3088,3109
2075,70,1321,1379
2100,0,5834,5692
2100,10,5998,5852
2100,20,6479,6309
2100,30,6252,6093
2100,40,5813,5696
2100,50,5209,5256
2100,60,4141,4258
2100,70,2355,2550
